qwen2.5:7b,general,ACT,127,13144
qwen2.5:7b,general,ACT,119,12718
qwen2.5:7b,general,ACT,146,14669
mistral:7b-instruct,general,PLAN,143,16676
mistral:7b-instruct,general,PLAN,79,8594
mistral:7b-instruct,general,PLAN,113,11299
mistral:7b-instruct,general,PLAN,99,11078
mistral:7b-instruct,general,PLAN,133,12962
mistral:7b-instruct,general,ACT,106,11526
mistral:7b-instruct,general,ACT,168,15598
mistral:7b-instruct,general,ACT,151,15693
phi3:medium,general,PLAN,0,17740
phi3:medium,general,PLAN,233,18626
phi3:medium,general,PLAN,217,16300
phi3:medium,general,PLAN,153,8409
phi3:medium,general,PLAN,59,4474
phi3:medium,general,ACT,160,9605
phi3:medium,general,ACT,235,18060
phi3:medium,general,ACT,41,7800
codellama:7b-instruct,general,PLAN,112,13366
codellama:7b-instruct,general,PLAN,113,10689
codellama:7b-instruct,general,PLAN,121,11578
codellama:7b-instruct,general,PLAN,100,9970
codellama:7b-instruct,general,PLAN,118,10560
codellama:7b-instruct,general,ACT,80,8117
codellama:7b-instruct,general,ACT,104,9248
codellama:7b-instruct,general,ACT,84,8221
qwen2.5-coder:3b,general,PLAN,68,16265
qwen2.5-coder:3b,general,PLAN,47,10761
qwen2.5-coder:3b,general,PLAN,79,18065
qwen2.5-coder:3b,general,PLAN,47,11371
qwen2.5-coder:3b,general,PLAN,54,12709
qwen2.5-coder:3b,general,ACT,56,12866
qwen2.5-coder:3b,general,ACT,54,12292
qwen2.5-coder:3b,general,ACT,51,11788
